date,vendor,category,amount
2025-01-05,Facebook Ads,Marketing,450.00
2025-01-12,Office Depot,Supplies,89.50
2025-01-18,AWS,Software,210.30
2025-01-25,Google Ads,Marketing,600.00
2025-02-02,Staples,Supplies,45.75
2025-02-10,Zoom,Software,29.99
2025-02-14,Facebook Ads,Marketing,380.00
2025-02-20,City Electric Co,Utilities,150.00
2025-03-01,LinkedIn Ads,Marketing,500.00
2025-03-08,Office Depot,Supplies,120.00
2025-03-15,AWS,Software,225.60
2025-03-22,Water Works,Utilities,80.00
2025-03-28,Google Ads,Marketing,720.00
2025-04-03,Slack,Software,49.99
2025-04-10,Staples,Supplies,65.20
